provincia,cobertura,periodo,incendios,superficie_total,superficie_afectada,indice_riesgo,centroide_lat,centroide_lon,fuente
Cordoba,Bosques,2025-Q1,12,1800,540,0.72,-31.42,-64.19,SNMF
Cordoba,Pastizales,2025-Q1,18,1450,610,0.68,-31.42,-64.19,SNMF
Cordoba,Turberas,2025-Q1,4,220,48,0.31,-31.42,-64.19,SNMF
Neuquen,Bosques,2025-Q1,9,1320,590,0.74,-38.95,-68.06,SNMF
Neuquen,Pastizales,2025-Q1,11,860,275,0.51,-38.95,-68.06,SNMF
Rio Negro,Bosques,2025-Q1,14,2100,940,0.81,-40.81,-63.00,SNMF
Rio Negro,Pastizales,2025-Q1,7,690,180,0.43,-40.81,-63.00,SNMF
Chubut,Bosques,2025-Q1,10,1540,720,0.77,-43.30,-65.10,SNMF
Chubut,Matorrales,2025-Q1,6,430,95,0.36,-43.30,-65.10,SNMF
Santa Cruz,Pastizales,2025-Q1,5,510,120,0.29,-51.62,-69.22,SNMF
Cordoba,Bosques,2025-Q2,15,2050,710,0.79,-31.42,-64.19,SNMF
Cordoba,Pastizales,2025-Q2,21,1690,690,0.71,-31.42,-64.19,SNMF
Cordoba,Turberas,2025-Q2,5,250,62,0.34,-31.42,-64.19,SNMF
Neuquen,Bosques,2025-Q2,11,1490,640,0.76,-38.95,-68.06,SNMF
Neuquen,Pastizales,2025-Q2,13,930,310,0.54,-38.95,-68.06,SNMF
Rio Negro,Bosques,2025-Q2,16,2290,1015,0.84,-40.81,-63.00,SNMF
Rio Negro,Pastizales,2025-Q2,8,720,210,0.45,-40.81,-63.00,SNMF
Chubut,Bosques,2025-Q2,12,1710,790,0.80,-43.30,-65.10,SNMF
Chubut,Matorrales,2025-Q2,7,470,108,0.39,-43.30,-65.10,SNMF
Santa Cruz,Pastizales,2025-Q2,6,550,138,0.33,-51.62,-69.22,SNMF
